id,nombre,estado,detalle,values_updated_at,filas
1,Generación programada PBF Hidráulica UGH,ok,,2026-08-10T14:13:27.000+02:00,192
2,Generación programada PBF Hidráulica no UGH,ok,,2026-08-10T14:13:27.000+02:00,192
3,Generación programada PBF Turbinación bombeo,ok,,2026-08-10T14:13:27.000+02:00,119
4,Generación programada PBF Nuclear,ok,,2026-08-10T14:13:27.000+02:00,192
5,Generación programada PBF Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
6,Generación programada PBF Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
7,Generación programada PBF Hulla antracita,vacio,sin valores (aún no publicado),,0
8,Generación programada PBF Hulla sub-bituminosa,vacio,sin valores (aún no publicado),,0
9,Generación programada PBF Ciclo combinado,ok,,2026-08-10T14:13:27.000+02:00,124
10,Generación programada PBF Fuel,vacio,sin valores (aún no publicado),,0
11,Generación programada PBF Gas Natural - Turbina de vapor,vacio,sin valores (aún no publicado),,0
12,Generación programada PBF Eólica terrestre,ok,,2026-08-10T14:13:27.000+02:00,192
13,Generación programada PBF Eólica marina,ok,,2026-08-10T14:13:27.000+02:00,24
14,Generación programada PBF Solar fotovoltaica,ok,,2026-08-10T14:13:27.000+02:00,192
15,Generación programada PBF Solar térmica,ok,,2026-08-10T14:13:27.000+02:00,192
16,Generación programada PBF Océano y geotérmica,vacio,sin valores (aún no publicado),,0
17,Generación programada PBF Gas Natural Cogeneración,ok,,2026-08-10T14:13:27.000+02:00,192
18,Generación programada PBF Derivados del petróleo ó carbón,ok,,2026-08-10T14:13:27.000+02:00,192
19,Generación programada PBF Subproductos minería,vacio,sin valores (aún no publicado),,0
20,Generación programada PBF Energía residual,ok,,2026-08-10T14:13:27.000+02:00,192
21,Generación programada PBF Biomasa,ok,,2026-08-10T14:13:27.000+02:00,192
22,Generación programada PBF Biogás,ok,,2026-08-10T14:13:27.000+02:00,192
23,Generación programada PBF Residuos domésticos y similares,ok,,2026-08-10T14:13:27.000+02:00,192
24,Generación programada PBF Residuos varios,ok,,2026-08-10T14:13:27.000+02:00,192
25,Generación programada PBF Consumo bombeo,ok,,2026-08-10T14:13:27.000+02:00,81
26,Generación programada PBF Enlace Baleares,ok,,2026-08-10T14:13:27.000+02:00,192
27,Generación programada PBF Genéricas,vacio,sin valores (aún no publicado),,0
28,Generación programada PBF Importación Francia,ok,,2026-08-10T14:13:27.000+02:00,137
29,Generación programada PBF Importación Portugal,ok,,2026-08-10T14:13:27.000+02:00,11
30,Generación programada PBF Importación Marruecos,vacio,sin valores (aún no publicado),,0
31,Generación programada PBF Importación Andorra,vacio,sin valores (aún no publicado),,0
32,Generación programada PBF Exportación Francia,ok,,2026-08-10T14:13:27.000+02:00,55
33,Generación programada PBF Exportación Portugal,ok,,2026-08-10T14:13:27.000+02:00,181
34,Generación programada PBF Exportación Marruecos,ok,,2026-08-10T14:13:27.000+02:00,192
35,Generación programada PBF Exportación Andorra,ok,,2026-08-10T14:13:27.000+02:00,192
36,Generación programada PVP Hidráulica UGH,ok,,2026-08-10T19:24:29.000+02:00,192
37,Generación programada PVP Hidráulica no UGH,ok,,2026-08-10T19:24:29.000+02:00,192
38,Generación programada PVP Turbinación bombeo,ok,,2026-08-10T19:24:29.000+02:00,141
39,Generación programada PVP Nuclear,ok,,2026-08-10T19:24:29.000+02:00,192
40,Generación programada PVP Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
41,Generación programada PVP Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
42,Generación programada PVP Hulla antracita,vacio,sin valores (aún no publicado),,0
43,Generación programada PVP Hulla sub-bituminosa,vacio,sin valores (aún no publicado),,0
44,Generación programada PVP Ciclo combinado,ok,,2026-08-10T19:24:29.000+02:00,192
45,Generación programada PVP Fuel,vacio,sin valores (aún no publicado),,0
46,Generación programada PVP Gas Natural - Turbina de vapor,ok,,2026-08-10T19:24:29.000+02:00,192
47,Generación programada PVP Eólica terrestre,ok,,2026-08-10T19:24:29.000+02:00,192
48,Generación programada PVP Eólica marina,ok,,2026-08-10T19:24:29.000+02:00,24
49,Generación programada PVP Solar fotovoltaica,ok,,2026-08-10T19:24:29.000+02:00,192
50,Generación programada PVP Solar térmica,ok,,2026-08-10T19:24:29.000+02:00,192
51,Generación programada PVP Océano y geotérmica,vacio,sin valores (aún no publicado),,0
52,Generación programada PVP Gas Natural Cogeneración,ok,,2026-08-10T19:24:29.000+02:00,192
53,Generación programada PVP Derivados del petróleo ó carbón,ok,,2026-08-10T19:24:29.000+02:00,192
54,Generación programada PVP Subproductos minería,vacio,sin valores (aún no publicado),,0
55,Generación programada PVP Energía residual,ok,,2026-08-10T19:24:29.000+02:00,192
56,Generación programada PVP Biomasa,ok,,2026-08-10T19:24:29.000+02:00,192
57,Generación programada PVP Biogás,ok,,2026-08-10T19:24:29.000+02:00,192
58,Generación programada PVP Residuos domésticos y similares,ok,,2026-08-10T19:24:29.000+02:00,192
59,Generación programada PVP Residuos varios,ok,,2026-08-10T19:24:29.000+02:00,192
60,Generación programada PVP Consumo bombeo,ok,,2026-08-10T19:24:29.000+02:00,87
61,Generación programada PVP Enlace Baleares,ok,,2026-08-10T19:24:29.000+02:00,192
62,Generación programada PVP Genéricas,vacio,sin valores (aún no publicado),,0
63,Generación programada PVP Importación Francia,ok,,2026-08-10T19:24:29.000+02:00,137
64,Generación programada PVP Importación Portugal,ok,,2026-08-10T19:24:29.000+02:00,11
65,Generación programada PVP Importación Marruecos,vacio,sin valores (aún no publicado),,0
66,Generación programada PVP Importación Andorra,vacio,sin valores (aún no publicado),,0
67,Generación programada PVP Exportación Francia,ok,,2026-08-10T19:24:29.000+02:00,55
68,Generación programada PVP Exportación Portugal,ok,,2026-08-10T19:24:29.000+02:00,181
69,Generación programada PVP Exportación Marruecos,ok,,2026-08-10T19:24:29.000+02:00,192
70,Generación programada PVP Exportación Andorra,ok,,2026-08-10T19:24:29.000+02:00,192
71,Generación programada P48 Hidráulica UGH,ok,,2026-08-11T11:37:19.000+02:00,192
72,Generación programada P48 Hidráulica no UGH,ok,,2026-08-11T11:37:19.000+02:00,192
73,Generación programada P48 Turbinación bombeo,ok,,2026-08-11T11:37:19.000+02:00,135
74,Generación programada P48 Nuclear,ok,,2026-08-11T11:37:19.000+02:00,192
75,Generación programada P48 Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
76,Generación programada P48 Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
77,Generación programada P48 Hulla antracita,vacio,sin valores (aún no publicado),,0
78,Generación programada P48 Hulla sub-bituminosa,vacio,sin valores (aún no publicado),,0
79,Generación programada P48 Ciclo combinado,ok,,2026-08-11T11:37:19.000+02:00,192
80,Generación programada P48 Fuel,vacio,sin valores (aún no publicado),,0
81,Generación programada P48 Gas Natural - Turbina de vapor,ok,,2026-08-11T11:37:19.000+02:00,192
82,Generación programada P48 Eólica terrestre,ok,,2026-08-11T11:37:19.000+02:00,192
83,Generación programada P48 Eólica marina,ok,,2026-08-11T11:37:19.000+02:00,24
